Reg.-Nr.	Gebiet	Bereich	Leitgemeinde	Wiki-ID (Leitgemeinde)	Großlage	Einzellage	ha	über NN	Neigung	Exposition
6.1.10.200	Mosel	Bernkastel	Olewig	Q885323	R�merlay	Kurf�rstenhofberg	2	160-190	hängig-steil	S-SSW
6.1.10.201	Mosel	Bernkastel	Tarforst	Q328287	R�merlay	St. Martiner Hofberg	2	180-250	steil	SW
6.1.10.202	Mosel	Bernkastel	Matthias	Q877660	R�merlay	St. Matheiser	6	160-220	hängig	S-W
6.1.10.203	Mosel	Bernkastel	Trier	Q3138	R�merlay	St. Maximiner Kreuzberg	12	150-230	hängig-steil	WNW
6.1.10.204	Mosel	Bernkastel	Kernscheid	Q650102	R�merlay	St. Petrusberg	1	190-240	steil	WSW
6.1.10.205	Mosel	Bernkastel	Olewig	Q885323	R�merlay	Thiergarten Unterm Kreuz	2	180-200	hängig-steil	S-SW
6.1.10.206	Mosel	Bernkastel	Olewig	Q885323	R�merlay	Thiergarten Felsk�pfchen	1	180-200	steil	S-SW
6.1.10.207	Mosel	Bernkastel	Trier	Q3138	R�merlay	St. Martiner Klosterberg	2	160-200	steil	S+SO+WS
6.1.10.208	Mosel	Bernkastel			R�merlay		2	240-280	steil	SSW
6,2	Mosel	Obermosel					711	130-350		
6.2.1	Mosel	Obermosel	Nittel	Q594609	Gipfel		643	130-350		
6.2.1.001	Mosel	Obermosel	Fellerich	Q1404048	Gipfel	Schleidberg	11	266-300	hängig-steil	OSO
6.2.1.002	Mosel	Obermosel	Helfant	Q636128	Gipfel	Kapellenberg	18	150-250	hängig	S-SO
6.2.1.003	Mosel	Obermosel	Nittel	Q594609	Gipfel		7	130-350		
6.2.1.004	Mosel	Obermosel	Kreuzweiler	Q636128	Gipfel	Schloß Thorner Kupp	8	150-250	hängig	SO-S
6.2.1.005	Mosel	Obermosel	Nittel	Q594609	Gipfel	Bl�mchen	24	140-300	hängig-steil	SSW
6.2.1.006	Mosel	Obermosel	Nittel	Q594609	Gipfel	Leiterchen	39	140-270	hängig-steil	SW
6.2.1.007	Mosel	Obermosel	Nittel	Q594609	Gipfel	Rochusfels	116	140-300	hängig-steil	WNW
