LN	WLV-ID	Reg.-Nr.	Status	Typ	Gebiet	Bereich	Leitgemeinde	Wikidata-ID (Leitgemeinde)	Großlage	Wikidata-ID (Großlage)	Ort	Wikidata-ID (Ort)	Einzellage	ha	über NN	Neigung	Exposition
459	wlv-651042	6.5.1.042	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Antoniusberg	9	160-240	hängig-steil	O
460	wlv-651043	6.5.1.043	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Heiligenborn	6	240-310	steil	SSW
461	wlv-651044	6.5.1.044	aktuell	Einzellage	Mosel	Saar	Ayl	Q186199	Scharzberg		k.A.	k.A.	Herrenberg	7	200-240	steil	SW
462	wlv-651045	6.5.1.045	aktuell	Einzellage	Mosel	Saar	Ayl	Q186199	Scharzberg		k.A.	k.A.	Kupp	7	170-310	steil	SO-SW
463	wlv-651046	6.5.1.046	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Schloß Saarsteiner	8	135-235	hängig-steil	W
464	wlv-651047	6.5.1.047	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Schloß Saarsteiner Schloßberg	6	175-240	hängig-steil	SW
465	wlv-651048	6.5.1.048	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Vogelsang	13	140-310	hängig-steil	SO-S
466	wlv-651049	6.5.1.049	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Würtzberg	5	160-280	steil	SO
467	wlv-651050	6.5.1.050	aktuell	Einzellage	Mosel	Saar	Wawern	Q565310	Scharzberg		k.A.	k.A.	Goldberg	8	170-263	hängig-steil	S-SW
468	wlv-651051	6.5.1.051	aktuell	Einzellage	Mosel	Saar	Wawern	Q565310	Scharzberg		k.A.	k.A.	Herrenberger	3	170-263	hängig-steil	S
469	wlv-651052	6.5.1.052	aktuell	Einzellage	Mosel	Saar	Wawern	Q565310	Scharzberg		k.A.	k.A.	Jesuitenberg	1	180-263	hängig-steil	SSO
470	wlv-651053	6.5.1.053	aktuell	Einzellage	Mosel	Saar	Wawern	Q565310	Scharzberg		k.A.	k.A.	Ritterpfad	10	170-263	hängig-steil	SO-SW
471	wlv-651054	6.5.1.054	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Braune Kupp	4	135-280	hängig-steil	SSW
472	wlv-651055	6.5.1.055	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Braunfels	19	150-320	hängig-steil	SW+W
473	wlv-651056	6.5.1.056	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Gottesfuß	3	160-260	steil	WSW-W
474	wlv-651057	6.5.1.057	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Hölle	2	135-180	hängig-steil	SSO
475	wlv-651058	6.5.1.058	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Klosterberg	42	160-310	hängig-steil	SW-W
476	wlv-651059	6.5.1.059	aktuell	Einzellage	Mosel	Saar	Serrig	Q656819	Scharzberg		k.A.	k.A.	Kupp	7	160-200	hängig	S
477	wlv-651060	6.5.1.060	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Rosenberg	23	160-290	hängig	WSW
478	wlv-651061	6.5.1.061	aktuell	Einzellage	Mosel	Saar	k.A.	k.A.	Scharzberg		k.A.	k.A.	k.A.	28	150-200	hängig-steil	O
479	wlv-651062	6.5.1.062	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Schlangengraben	27	150-230	hängig-steil	OSO-S
480	wlv-651063	6.5.1.063	aktuell	Einzellage	Mosel	Saar	Wiltingen	Q161930	Scharzberg		k.A.	k.A.	Schloßberg	3	150-200	hängig-steil	O
481	wlv-651064	6.5.1.064	aktuell	Einzellage	Mosel	Saar	Pellingen	Q655962	Scharzberg		k.A.	k.A.	Herrgottsrock	1	300-370	hängig-steil	SO
482	wlv-651065	6.5.1.065	aktuell	Einzellage	Mosel	Saar	Saarburg	Q543639	Scharzberg		k.A.	k.A.	Laurentiusberg	1	170-210	hängig	W
483	wlv-651066	6.5.1.066	aktuell	Einzellage	Mosel	Saar	Niederleuken	Q543639	Scharzberg		k.A.	k.A.	Stirn	1	170-200	steil	OSO
484	wlv-660000	6.6.	aktuell	Bereich	Mosel	Moseltor	k.A.	k.A.			k.A.	k.A.	k.A.	113			
485	wlv-661000	6.6.1.	aktuell	Großlage	Mosel	Moseltor	k.A.	k.A.	Schloß Bübingen		k.A.	k.A.	k.A.	111	151-275		
486	wlv-661525	6.6.1.525	aktuell	Einzellage	Mosel	Moseltor	Perl	Q662505	Schloß Bübingen		k.A.	k.A.	Hasenberg	13	180-240	hängig	W
487	wlv-661524	6.6.1.524	aktuell	Einzellage	Mosel	Moseltor	Perl	Q662505	Schloß Bübingen		k.A.	k.A.	Quiriniusberg	25	162-212	hängig	SW-W
488	wlv-661522	6.6.1.522	aktuell	Einzellage	Mosel	Moseltor	Sehndorf	Q2266381	Schloß Bübingen		k.A.	k.A.	Klosterberg	16	162-207	hängig	S-W
489	wlv-621164	6.2.1.164	aktuell	Einzellage	Mosel	Moseltor	Sehndorf	Q2266381	Schloß Bübingen		k.A.	k.A.	Marienberg	24	225-275	hängig	S-W
490	wlv-661520	6.6.1.520	aktuell	Einzellage	Mosel	Moseltor	Nennig	Q316804	Schloß Bübingen		k.A.	k.A.	Schloßberg	22	151-160	hängig	
491	wlv-661521	6.6.1.521	aktuell	Einzellage	Mosel	Moseltor	Nennig	Q316804	Schloß Bübingen		k.A.	k.A.	Römerberg	11	190-220	hängig	S-W
492	wlv-h00001	keine	historisch	k.A.	Mosel	k.A.	k.A.	k.A.	k.A.	k.A.	Alf	Q568556	Gartenwingert	k.A.	k.A.	k.A.	k.A.
493	wlv-h00002	keine	historisch	k.A.	Mosel	k.A.	k.A.	k.A.	k.A.	k.A.	Alf	Q568556	Niederberg	k.A.	k.A.	k.A.	k.A.
494	wlv-h00003	keine	historisch	k.A.	Mosel	k.A.	k.A.	k.A.	k.A.	k.A.	Alken	Q305288	Sonnenring	k.A.	k.A.	k.A.	k.A.
495	wlv-h00004	keine	historisch	k.A.	Mosel	k.A.	Bernkastel-Kues	Q155622	k.A.	k.A.	Andel	k.A.	Sonnseite	k.A.	k.A.	k.A.	k.A.
496	wlv-h00005	keine	historisch	k.A.	Mosel	k.A.	Trier	Q3138	k.A.	k.A.	Avelsbach	k.A.	Thielslei	k.A.	k.A.	k.A.	k.A.
497	wlv-h00006	keine	historisch	k.A.	Mosel	k.A.	Trier	Q3138	k.A.	k.A.	Avelsbach	k.A.	Vogelgesang	k.A.	k.A.	k.A.	k.A.
498	wlv-h00007	keine	historisch	k.A.	Mosel	k.A.	Trier	Q3138	k.A.	k.A.	Avelsbach	k.A.	Wolfsgraben	k.A.	k.A.	k.A.	k.A.
